No,Keywords,Volume,Position,Est. Visits,SEO Difficulty,CPC,Ranking URL
69,price for pumping septic tank,9900,2,1304,16,12.6,http://angi.com/articles/how-much-does-septic-tank-pumping-cost.htm
70,aircon repair near me,246000,5,1280,62,43.13,http://angi.com/nearme/air-conditioning-repair/
71,swimming pool heater repair,12100,2,1277,13,12.85,http://angi.com/nearme/repair-pool-heaters/
72,swimming pool heater repairs,12100,2,1277,8,10.72,http://angi.com/nearme/repair-pool-heaters/
73,survey cost,14800,2,1226,15,4.06,http://angi.com/articles/how-much-does-land-survey-cost.htm
74,water heater flush service,8100,2,1191,19,26.55,http://angi.com/articles/water-heater-flush-cost.htm
75,septic tank installation companies near me,8100,2,1191,32,11.34,http://angi.com/nearme/septic-tank-companies/
76,plumber for leaky faucet,8100,2,1191,19,17.77,http://angi.com/articles/plumber-cost-to-fix-leaky-faucet.htm
77,metal roof installers near me,8100,2,1164,16,30.21,http://angi.com/nearme/metal-roof-installers/
78,house cleaner near me,60500,4,1127,62,9.88,http://angi.com/nearme/house-cleaning/
79,tree removing company near me,60500,4,1127,48,16.54,http://angi.com/nearme/tree-removal/
80,household cleaner near me,60500,4,1127,55,9.88,http://angi.com/nearme/house-cleaning/
81,samsung dryer repairman,60500,4,1127,16,9.03,http://angi.com/nearme/samsung-dryer-repair/
82,wooden fence replacement cost,8100,2,1101,24,5.82,http://angi.com/articles/how-much-does-it-cost-install-wood-fence.htm
83,roofers close to me,201000,6,1096,63,22.4,http://angi.com/nearme/roofing/
84,roofing company near me,201000,6,1096,50,30.17,http://angi.com/nearme/roofing/
85,changing a door frame,8100,2,1078,26,13.98,http://angi.com/articles/how-to-replace-door-frame.htm
86,power washer companies near me,49500,3,1065,27,12.03,http://angi.com/nearme/power-washing/
87,mold testers near me,33100,2,1042,31,28.31,http://angi.com/nearme/mold-inspection/
88,repairman for washing machine,201000,7,1041,48,11.92,http://angi.com/nearme/washing-machine-repair/
89,exterminator close to me,201000,7,1041,58,31.51,http://angi.com/nearme/exterminators/
90,roofing company close to me,201000,7,1041,63,30.17,http://angi.com/nearme/roofing/
91,roofing contractor near me,74000,4,1023,62,23.68,http://angi.com/nearme/roofing/
92,drain cleaning near me,74000,4,1023,50,38.83,http://angi.com/nearme/drain-cleaning/
93,chimney sweeps near me,74000,4,1023,31,16.16,http://angi.com/nearme/chimney-cleaning/
94,service septic tank,74000,4,1019,43,7.87,http://angi.com/articles/how-much-does-septic-tank-pumping-cost.htm
95,roofing firms near me,368000,7,1012,54,53.565,http://angi.com/nearme/roofing/
96,water damage restoration companies near me,301000,7,1012,61,40.82,http://angi.com/nearme/water-damage-restoration/
97,dishwasher repair price,2900,1,996,21,6.79,http://angi.com/articles/how-much-do-dishwasher-repairs-cost.htm
98,dishwasher repair cost,2900,1,996,17,6.79,http://angi.com/articles/how-much-do-dishwasher-repairs-cost.htm
99,how much is tree removal cost,2900,1,996,28,6.91,http://angi.com/articles/how-much-does-tree-removal-cost.htm
100,asbestos removal prices,2900,1,996,14,9.09,http://angi.com/articles/how-much-does-asbestos-removal-cost.htm
101,window repair cost,2900,1,996,32,9.83,http://angi.com/articles/how-much-do-window-repairs-cost.htm
102,tree removal cost,12100,3,991,25,9.2,http://angi.com/articles/how-much-does-tree-removal-cost.htm
103,septic system cleaning service,9900,3,981,42,17.38,http://angi.com/nearme/septic-tank-cleaners/
104,roofing leak repair near me,8100,3,974,11,32.03,http://angi.com/nearme/roof-leak-repair/
105,air conditioner technicians near me,8100,3,974,48,55.69,http://angi.com/nearme/air-conditioning-repair/
106,window washer service near me,8100,3,974,45,7.91,http://angi.com/nearme/window-cleaning/
107,affordable roofers near me,2900,1,969,47,36.64,http://angi.com/nearme/affordable-roofing/
108,cheapest roofer near me,2900,1,969,34,36.64,http://angi.com/nearme/affordable-roofing/
109,gardener near me,9900,3,960,57,8.48,http://angi.com/nearme/gardeners/
110,how much does pest control cost,9900,3,955,27,12.18,http://angi.com/articles/how-much-does-pest-control-service-cost.htm
111,locksmith hire,2900,1,944,25,0.63,http://angi.com/nearme/locksmiths/
112,wood floor installation service,8100,3,943,46,13.31,http://angi.com/nearme/wood-floor-installers/
113,tree removal service,12100,3,936,52,15.26,http://angi.com/nearme/tree-removal/
114,repairing baseboard heaters,2900,1,933,26,39.69,http://angi.com/articles/baseboard-heater-not-working.htm
115,propane tank install cost,12100,3,927,28,6.51,http://angi.com/articles/propane-tank-installation-cost.htm
116,exterminator cost,12100,3,919,19,14.15,http://angi.com/articles/how-much-does-pest-control-service-cost/pa/philadelphia
117,foundation repair specialists,14800,3,916,32,49.32,http://angi.com/nearme/foundation-repair/
118,pool heater repair,12100,3,908,11,10.72,http://angi.com/nearme/repair-pool-heaters/
119,landscaping pine trees,2900,1,901,22,0.29,http://angi.com/articles/types-of-pine-trees-for-landscaping.htm
120,jack and jill bathroom,12100,3,901,38,8.24,http://angi.com/articles/what-jack-and-jill-bathroom.htm
121,heat furnace repair near me,40500,4,862,33,35.38,http://angi.com/nearme/furnace-repair/
122,deep cleans,14800,3,835,32,7.225,http://angi.com/articles/general-house-cleaning-vs-deep-cleaning.htm
123,septic tank pumping services,135000,5,812,36,10.47,http://angi.com/articles/how-much-does-septic-tank-pumping-cost.htm
124,home theater installation near me,2400,1,803,17,10.5,http://angi.com/nearme/install-home-theater/
125,furnace cleaning near me,2400,1,803,32,20.06,http://angi.com/nearme/furnace-cleaners/
126,septic tank repair near me,2400,1,803,40,17.8,http://angi.com/nearme/septic-tank-repair/
127,gas plumber near me,2400,1,803,11,42.33,http://angi.com/nearme/natural-gas-plumbers/
128,septic system repair near me,2400,1,803,27,17.8,http://angi.com/nearme/septic-tank-repair/
129,repair services near me,2400,1,803,29,10.91,http://angi.com/nearme/
